Iteration	Posterior	Likelihood	Prior	age_extant	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	turnover
32000	-609.4988	-503.9268	-105.572	25.41657	0.03889504	0.1095763	0.0187654	0.06823109	5	29.66908	0.1283417	16.1751	11.4315	7.29491	9.42016	12.829	0.1462144
32500	-613.5402	-509.1224	-104.4178	23.75407	0.03640252	0.1472994	0.005313479	0.04875573	5	24.06601	0.1526129	19.881	5.86584	5.73209	10.1284	15.5567	0.03481671
33000	-614.476	-510.7235	-103.7525	24.10964	0.04064487	0.1308737	0.02670941	0.03826903	5	25.32064	0.1575831	16.54	8.00634	6.2926	7.90614	14.1024	0.1694941
33500	-616.5792	-511.1212	-105.458	23.80628	0.02893307	0.09384193	0.02617821	0.04035704	5	24.46665	0.1200201	16.3872	8.28875	5.76001	10.3788	19.5517	0.2181151
34000	-612.8327	-508.7159	-104.1168	22.41523	0.04741608	0.08701098	0.06062568	0.01414453	5	27.63963	0.1476367	16.2719	7.16772	6.009	9.09851	15.5048	0.4106411
34500	-615.8324	-510.7158	-105.1167	22.17272	0.03534774	0.1193257	0.04148712	0.07013103	5	24.52205	0.1608128	18.3073	7.05262	6.55803	10.2399	13.9268	0.257984
35000	-610.6406	-505.7399	-104.9006	28.34285	0.0405189	0.0964103	0.008638424	0.06502092	5	28.42552	0.1050487	19.8855	7.10035	6.84243	9.16136	18.349	0.08223254
35500	-611.2825	-504.6653	-106.6172	27.23875	0.03878111	0.1465346	0.01002068	0.02242757	5	28.86518	0.1565552	16.4639	7.05674	6.81137	10.2674	16.1862	0.06400732
36000	-612.2245	-506.267	-105.9576	24.83646	0.04511554	0.08494393	0.04616852	0.03648951	4	28.60988	0.1311125	16.8426	6.84809	6.51019	8.969	19.0448	0.3521292
36500	-612.1083	-501.4852	-110.623	27.66673	0.03357598	0.03200998	0.0398656	0.05975032	5	29.96827	0.07187558	17.066	11.4695	10.4478	9.54122	18.9314	0.5546473
37000	-608.5559	-508.1851	-100.3708	25.67582	0.049438	0.1237651	0.008538639	0.02878447	5	29.45938	0.1323038	18.8616	7.52286	6.02482	8.8687	14.5089	0.06453814
37500	-638.8285	-522.8852	-115.9432	25.74546	0.02821757	0.06532243	0.111577	0.01157424	3	27.68205	0.1768994	16.9369	14.1087	5.95196	11.06	15.6058	0.630737
38000	-616.5523	-506.9794	-109.5729	21.55599	0.03555777	0.08972995	0.05494956	0.06862197	4	28.71959	0.1446795	17.0991	9.31541	5.55815	8.5674	14.9608	0.379802
38500	-610.3479	-507.4179	-102.93	23.77055	0.04352464	0.08596665	0.006987421	0.03321827	5	29.09915	0.09295408	19.9363	7.54567	6.93007	8.84269	13.9005	0.07517068
39000	-614.3576	-509.7979	-104.5597	28.21321	0.04071903	0.1343319	0.04653874	0.04036555	5	28.88116	0.1808706	16.3708	9.91126	5.6016	8.66661	17.5807	0.2573041
39500	-613.1871	-508.2081	-104.979	25.13517	0.04085031	0.1023717	0.06856265	0.04784491	5	28.38276	0.1709343	18.593	8.90638	6.40258	10.7808	19.7954	0.4011053
40000	-615.0563	-511.6134	-103.443	23.5243	0.04625119	0.09086101	7.238747e-05	0.0374241	5	26.67611	0.0909334	17.1117	8.35053	7.17743	10.6642	14.5361	0.0007960494
40500	-613.6717	-513.8393	-99.83239	18.35384	0.05140541	0.109568	0.04152794	0.07578234	5	21.08814	0.151096	16.7658	8.11601	6.79941	8.14466	11.6814	0.2748448
41000	-621.7615	-511.9961	-109.7654	25.24725	0.03753589	0.04399371	0.09820048	0.02096817	4	28.11241	0.1421942	17.6892	7.17291	5.37469	7.57181	14.9069	0.6906082
41500	-615.5737	-510.5002	-105.0735	23.82076	0.04184574	0.1005008	0.03232653	0.01392882	5	24.55357	0.1328274	16.8458	6.98892	6.04329	8.53578	13.7331	0.2433725
42000	-610.606	-505.2471	-105.3588	23.19178	0.03521509	0.1351229	0.01759015	0.06638481	5	27.49547	0.152713	18.8284	7.22821	7.10778	9.45525	17.9916	0.1151843
42500	-619.0839	-510.9327	-108.1512	26.6341	0.02733782	0.07872383	0.01964706	0.02036425	5	29.69373	0.0983709	16.5737	13.7536	13.5569	9.87864	12.8232	0.1997243
43000	-618.053	-507.3966	-110.6563	28.65449	0.03408329	0.07992422	0.01975849	0.03175379	4	29.00551	0.09968271	20.2552	9.79297	9.76624	11.2231	19.5679	0.1982138
43500	-615.7637	-513.1014	-102.6623	24.5046	0.04283761	0.1425562	0.001327828	0.04607962	5	25.0674	0.143884	19.4216	7.76073	5.99251	10.5227	14.6054	0.00922846
44000	-610.0205	-506.0682	-103.9524	23.98637	0.04536841	0.1038764	0.06145756	0.06678168	5	26.73005	0.165334	18.3169	7.06647	6.44157	10.8016	15.5775	0.3717177
44500	-613.7312	-510.7584	-102.9728	25.78507	0.04649942	0.2164727	0.03819263	0.03466684	5	29.3616	0.2546653	18.787	11.2619	7.01937	7.80264	14.7898	0.1499719
45000	-613.792	-509.2038	-104.5882	23.28877	0.03831638	0.08201502	0.05785746	0.05032855	5	27.44437	0.1398725	16.5626	10.0954	9.27193	7.69368	14.2231	0.4136443
45500	-608.6177	-505.5264	-103.0914	22.90894	0.0370542	0.09241195	0.01260491	0.05916663	5	24.4296	0.1050169	16.8176	8.07061	7.78766	7.93241	19.5616	0.1200275
46000	-612.644	-505.4251	-107.2189	28.35138	0.03714479	0.07472604	0.06841723	0.02847733	5	29.17879	0.1431433	17.9682	7.02011	6.77478	10.9977	15.0348	0.4779633
46500	-616.0442	-508.4793	-107.5648	27.64004	0.03948955	0.0131952	0.1320107	0.02982665	5	28.15357	0.1452059	16.3124	8.08691	5.85968	9.21666	19.1297	0.9091277
47000	-621.9477	-511.9019	-110.0458	29.38008	0.03674648	0.06135352	0.04766934	0.01787899	4	29.55073	0.1090229	18.2876	14.6914	9.17082	9.96652	22.994	0.4372417
47500	-614.8125	-505.7144	-109.0981	24.06904	0.04078353	0.1542315	0.07883778	0.01082028	5	29.80824	0.2330692	16.0764	6.78235	6.73123	9.11008	14.8631	0.338259
48000	-616.3682	-510.9759	-105.3923	27.7701	0.04264841	0.1632202	0.01145042	0.03535876	5	28.2539	0.1746706	16.1622	9.53093	8.22725	8.53035	20.9124	0.06555435
48500	-618.8512	-513.1552	-105.696	23.89352	0.04901118	0.2070728	0.02556022	0.02284312	5	28.52094	0.2326331	16.1582	11.052	9.78036	9.29348	13.9294	0.1098736
49000	-614.581	-502.0742	-112.5068	28.76076	0.03558308	0.1074831	0.1032711	0.03877314	4	29.39079	0.2107543	17.4649	8.23553	7.40731	10.471	21.1655	0.4900073
49500	-615.6915	-502.8217	-112.8697	27.98328	0.03493743	0.0198078	0.1670179	0.01922754	4	29.32449	0.1868257	19.7219	12.1299	8.77793	8.98742	15.3874	0.8939771
50000	-617.0325	-499.9402	-117.0924	26.27428	0.03053084	0.005285072	0.1921131	0.005749689	2	26.66187	0.1973982	16.2849	14.3259	15.7649	10.3537	14.4049	0.9732263
50500	-615.576	-500.0272	-115.5487	26.59133	0.02887333	0.0687404	0.1319759	0.01476913	3	28.31347	0.2007163	17.2031	6.81827	5.80026	10.8806	17.4	0.6575246
51000	-604.5004	-501.6749	-102.8255	23.40388	0.04638152	0.09238033	0.1022321	0.02824042	4	27.96697	0.1946124	19.9381	15.8257	15.1195	7.84141	11.8516	0.5253113
51500	-619.4233	-506.9909	-112.4324	28.1122	0.03707294	0.003284444	0.09565673	0.02508534	4	28.62095	0.09894117	16.668	8.0334	5.80763	8.96989	15.4785	0.9668041
