Iteration	Posterior	Likelihood	Prior	age_extant	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	branch_rates_sd	diversification	extinction_rate	fossil_samp_rate	ln_branch_rates_mean	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	turnover
10000	-411.9181	-508.7659	96.84781	21.25478	0.0379081	0.0414149	0.0398205	0.0406016	0.0411572	0.0404366	0.0416797	0.0387228	0.0405322	0.0398665	0.0368124	0.0380923	0.0434085	0.0369685	0.0414127	0.0399162	0.0418599	0.0368716	0.0379337	0.0389167	0.0376203	0.0399302	0.0419916	0.0392874	0.036972	0.0375279	0.0400874	0.036833	0.0367737	0.0388681	0.0395482	0.0425373	0.0406127	0.0394552	0.0387615	0.0385921	0.0384691	0.0380581	0.042145	0.0407861	0.0371636	0.0376567	0.0391404	0.05008501	0.03498352	0.09541389	0.03539598	-3.2406	3	29.91126	0.1303974	15.3507	16.986	10.4306	5.98846	9.78694	0.7317162
10500	-491.2305	-505.4054	14.17491	23.25902	0.042009	0.0527859	0.0648646	0.0496331	0.0800255	0.0509989	0.0369602	0.0433209	0.042752	0.06214	0.0996202	0.0899625	0.0501516	0.0438029	0.041283	0.0540823	0.0301171	0.0349457	0.0626112	0.0525502	0.0522512	0.0438133	0.0311011	0.0610137	0.0443959	0.0460354	0.0549129	0.0395933	0.0472744	0.0668755	0.0556441	0.0497484	0.0537951	0.0348902	0.0368985	0.0646297	0.0649739	0.050176	0.0613202	0.0211052	0.0428444	0.0466664	0.04999177	0.3446433	0.09841165	0.09220314	0.04771582	-2.995897	4	23.95042	0.1906148	21.4886	17.3159	10.1214	15.9468	15.0911	0.4837145
11000	-472.9146	-498.4568	25.54228	28.3481	0.0329272	0.0278072	0.0324107	0.031947	0.0404494	0.0284294	0.0414353	0.0300201	0.045692	0.027694	0.0251278	0.0287944	0.0219274	0.0215113	0.0314095	0.0246844	0.0456365	0.0259238	0.0373729	0.0414299	0.0288921	0.0353533	0.0454577	0.0337236	0.0369266	0.0202353	0.0359465	0.0275628	0.0240779	0.064548	0.0355148	0.0251431	0.0399801	0.0389582	0.0384751	0.0479143	0.0441892	0.0253649	0.0467618	0.0207824	0.0451247	0.0405852	0.03353218	0.2587779	0.05443093	0.05069868	0.02158055	-3.39525	3	29.1255	0.1051296	18.4533	17.0707	10.9416	8.22962	8.45342	0.4822493
11500	-439.3282	-501.2449	61.91671	25.798	0.0697506	0.0636399	0.0631235	0.0629669	0.0621157	0.0599252	0.0653635	0.0662839	0.0608746	0.0556194	0.0548789	0.0619885	0.0513545	0.0655719	0.0743798	0.0590825	0.0620249	0.0519314	0.0572056	0.0568107	0.0624584	0.0624103	0.0562305	0.0571094	0.0642194	0.0636603	0.069136	0.0648745	0.0590183	0.0563527	0.0589379	0.066355	0.0577178	0.0551367	0.0650993	0.0619121	0.0583227	0.0637596	0.066709	0.0602539	0.0622675	0.0607992	0.06027767	0.0699776	0.01023401	0.1656559	0.02354163	-2.808794	4	26.53338	0.1758899	17.2031	19.3512	8.60386	12.3197	12.9734	0.9418158
12000	-392.3412	-507.272	114.9308	21.71544	0.0605776	0.0618575	0.060652	0.0614207	0.058582	0.0612143	0.0596258	0.0605919	0.0600636	0.0600008	0.0586001	0.0594542	0.0611345	0.0615911	0.0600388	0.0621994	0.0597288	0.060211	0.0609705	0.060555	0.0613042	0.0619967	0.05873	0.0592558	0.060897	0.0603209	0.0592194	0.0597498	0.0601284	0.0624805	0.0624984	0.0594838	0.0602427	0.0622544	0.0583026	0.0619223	0.0613894	0.0591566	0.0617844	0.059487	0.0646395	0.0613838	0.06073182	0.02158966	0.2048291	0.07382987	0.05704682	-2.801287	3	24.842	0.278659	12.5108	16.2311	9.37209	7.77465	9.17698	0.264947
12500	-525.1375	-506.604	-18.53347	20.59961	0.0228889	0.0393423	0.0328449	0.0255965	0.0831996	0.0458163	0.0834464	0.0211736	0.0670803	0.0648892	0.045317	0.0373815	0.0189121	0.0554332	0.0941963	0.0468545	0.0338039	0.0591992	0.0466881	0.020085	0.0503534	0.0565496	0.133012	0.0452479	0.0962821	0.0297886	0.0507656	0.0739048	0.131916	0.0451017	0.0296808	0.0565407	0.114073	0.0300046	0.0448723	0.0947813	0.15212	0.0296411	0.0440144	0.124944	0.0923237	0.0164428	0.05623503	0.5681067	0.1874432	0.03292978	0.0306316	-2.878215	4	23.02193	0.2203729	12.9521	17.4081	10.6304	7.05238	9.5946	0.1494275
13000	-513.8309	-501.5759	-12.25504	21.28137	0.0712752	0.0283495	0.0266898	0.0354218	0.0586045	0.0518838	0.0851208	0.0546429	0.0276019	0.0702657	0.0320372	0.0282697	0.0212932	0.0375093	0.0788982	0.0810835	0.0286406	0.0694958	0.0194886	0.039539	0.0586595	0.0628466	0.0221878	0.0354819	0.142792	0.0558461	0.029557	0.083432	0.0329712	0.0372348	0.0669516	0.057274	0.0874857	0.0249591	0.0656004	0.103837	0.108804	0.0306544	0.0657896	0.0159411	0.116153	0.0473231	0.05299989	0.4878139	0.1537995	0.02002849	0.0624179	-2.937465	4	26.2085	0.173828	18.7219	18.871	7.5072	13.7752	14.3059	0.1152202
13500	-472.4057	-505.3744	32.96876	26.33387	0.0278039	0.0300423	0.0423306	0.0525047	0.0366467	0.0451955	0.0426476	0.0426415	0.0552941	0.0451008	0.0336694	0.0422222	0.0520114	0.0352864	0.0402424	0.0335452	0.0553702	0.0487381	0.0354752	0.0270981	0.0430488	0.0397346	0.0320145	0.0603865	0.0563813	0.0441235	0.0478161	0.0403074	0.0458117	0.0481693	0.060036	0.0290029	0.0353397	0.0426442	0.0251265	0.0419565	0.0570207	0.0369249	0.0412593	0.0289537	0.0462689	0.0360633	0.04038672	0.2163791	0.121106	0.03795304	0.04559556	-3.209254	5	28.19805	0.1590591	15.9002	17.5257	8.65963	7.77322	9.55525	0.2386097
14000	-484.7147	-511.5267	26.81204	25.76595	0.0464189	0.0319379	0.0369101	0.0397338	0.0307824	0.0352646	0.0326983	0.0440522	0.0335851	0.0310419	0.0417849	0.0504332	0.0590025	0.0396197	0.0381953	0.0412666	0.0371112	0.0281825	0.0271255	0.0291373	0.0424406	0.0469317	0.0416832	0.0199364	0.025816	0.0310705	0.0940016	0.0339249	0.041933	0.0472405	0.0359552	0.0436715	0.0540853	0.0319912	0.036232	0.0458355	0.0404128	0.0418702	0.0406781	0.0282774	0.038885	0.0317709	0.0407663	0.2845801	0.08193961	0.01642521	0.06166718	-3.199899	5	27.49256	0.09836482	20.9585	19.1358	8.33274	6.24638	6.25037	0.1669825
14500	-404.6686	-500.31	95.64146	26.56806	0.0301797	0.0275848	0.0282691	0.0345185	0.0317504	0.0294536	0.0303982	0.0296378	0.0282952	0.028509	0.0309218	0.0294345	0.027215	0.0302544	0.0308842	0.0287153	0.0309139	0.0301664	0.0285455	0.0286541	0.0318363	0.0310368	0.0284996	0.0269093	0.0350909	0.0314817	0.029806	0.0299549	0.0276784	0.0295753	0.0284371	0.0313694	0.030629	0.0258855	0.0269212	0.0325842	0.0291173	0.0302403	0.0270795	0.0295285	0.0319299	0.0284951	0.02963854	0.06433409	0.08233359	0.09821572	0.02618372	-3.51868	4	27.97364	0.1805493	19.0707	19.7926	10.1797	6.91838	7.43588	0.5439828
